Ratio,0,30,45,60,90,,Average,Weighted Average
0,0.9250889,0.9181346,0.905248,0.8362425,0,,0.8961785,
0.01,0.8725,0.870285189,0.857677513,0.818035944,0,,0.8546246615,
0.02,0.8963,0.897274207,0.883357483,0.839112051,0,,0.8790109353,0.8798798904
0.03,0.8963,0.896495518,0.885128842,0.843386243,0,,0.8803276508,0.8806574048
0.04,0.8963,0.899254113,0.884711001,0.844706633,0,,0.8812429368,0.8830563133
0.05,0.8963,0.901808522,0.886170433,0.839596603,0,,0.8809688895,0.8824786324
0.06,0.8963,0.898454294,0.884447674,0.839130435,0,,0.8795831008,0.8804435399
0.07,0.8963,0.896833504,0.886183937,0.83456,0,,0.8784693603,0.8772802845
0.08,0.8963,0.895032706,0.889039242,0.831867896,0,,0.878059961,0.8744972132
0.09,0.8963,0.896072013,0.886493804,0.836181877,0,,0.8787619235,0.8773419332
0.1,0.8963,0.894709863,0.883194154,0.841647892,0,,0.8789629773,0.8792045947
0.11,0.8963,0.89297796,0.886263851,0.843793735,0,,0.8798338865,0.8782813653
0.12,0.8963,0.893780788,0.886401674,0.836379273,0,,0.8782154338,0.8759337615
0.13,0.8963,0.894423334,0.885582565,0.82840811,0,,0.8761785023,
0.14,0.8963,0.894461001,0.885603439,0.825132475,0,,0.8753742288,
0.15,0.8963,0.893430807,0.882741276,0.822003674,0,,0.8736189393,
0.2,0.8963,0.894123711,0.881613687,0.809327549,0,,0.8703412368,
0.25,0.8963,0.892783292,0.876044421,0.798148148,0,,0.8658189653,
0.5,0.8963,0.872657625,0.826600043,0.679889503,0,,0.8188617928,
1,0.8963,0.758387164,0.578707144,0.424262439,0,,0.6644141868,
2,0.8963,0.438287678,0.211646374,0.103295731,0,,0.4123824458,
3,0.8963,0.230785253,0.092325631,0.033845279,0,,0.3133140408,
4,0.8963,0.150156087,0.035182332,0.008158508,0,,0.2724492318,
6,0.896,0.053627213,0,0,0,,0.2374068033,
8,0.896,0.004264392,0,0,0,,0.225066098,
10,0.896,0,0,0,0,,0.224,
20,0.8956,0,0,0,0,,0.2239,
,,0.901808522,0.889039242,0.844706633,,,,
