Ratio,0,30,45,60,90,,Average,Weighted Average
0,0.9250889,0.9181346,0.905248,0.8362425,0,,0.8961785,0.8927646103
0.001,0.8963,0.898628746,0.886335532,0.838188727,0,,0.8798632513,
0.01,0.8963,0.89836199,0.887548959,0.839508787,0,,0.880429934,
0.05,0.897,0.900225133,0.885332505,0.844698589,0,,0.8818140568,
0.06,0.8969,0.89692623,0.885649061,0.849570815,0,,0.8822615265,
0.07,0.8974,0.896194481,0.885901163,0.846335697,0,,0.8814578353,
0.08,0.898,0.895826925,0.886382536,0.845564429,0,,0.8814434725,
0.09,0.8973,0.900092223,0.886512986,0.850715525,0,,0.8836551835,
0.1,0.8984,0.897633745,0.885750157,0.852423386,0,,0.883551822,
0.11,0.8981,0.89655527,0.887351986,0.851747341,0,,0.8834386493,
0.12,0.9001,0.897425335,0.889647924,0.85548317,0,,0.8856641073,
0.13,0.8997,0.899783483,0.889075984,0.856924755,0,,0.8863710555,
0.14,0.8988,0.89860753,0.888431931,0.860142154,0,,0.8864954038,
0.15,0.8999,0.89924719,0.892244554,0.858937937,0,,0.8875824203,0.887598627
0.2,0.9037,0.905683818,0.891863295,0.861584421,0,,0.8907078835,0.8935272911
0.25,0.9059,0.905009354,0.897024192,0.873161971,0,,0.8952738793,0.8968586561
0.28,0.9078,0.901166424,0.89824863,0.87208385,0,,0.894824726,0.8939892701
0.29,0.9069,0.899561952,0.897485493,0.876796945,0,,0.8951860975,0.8947527406
0.3,0.9094,0.899843831,0.900840698,0.87227801,0,,0.8955906348,0.8929397781
0.31,0.9085,0.902405999,0.902732946,0.876323496,0,,0.8974906103,0.8956499654
0.32,0.9082,0.907020476,0.895543326,0.872012685,0,,0.8956941218,0.8984041011
0.33,0.9089,0.905845511,0.898078169,0.870279521,0,,0.8957758003,0.8965768992
0.34,0.9073,0.905522497,0.89747191,0.86888052,0,,0.8947937318,0.8956892667
0.35,0.9056,0.904175365,0.898025251,0.860441193,0,,0.8920604523,0.8911800206
0.4,0.908813041,0.903005464,0.897624986,0.827375461,0,,0.884204738,0.878319262
0.41,0.908868999,0.902961563,0.899967381,0.815910661,0,,0.881927151,
0.42,0.9097,0.906246708,0.895016251,0.80739457,0,,0.8795893823,
0.43,0.9089,0.9056902,0.89614631,0.799167534,0,,0.877476011,
0.44,0.9078,0.905399705,0.892208361,0.793135436,0,,0.8746358755,
0.45,0.9072,0.905158772,0.894323144,0.789645143,0,,0.8740817648,
0.46,0.9078,0.901828173,0.893823658,0.786421335,0,,0.8724682915,
0.47,0.9056,0.897113249,0.891380442,0.782567948,0,,0.8691654098,
0.48,0.9061,0.895989842,0.89188301,0.781998831,0,,0.8689929208,
0.49,0.9033,0.8992166,0.890183577,0.786356734,0,,0.8697642278,
0.5,0.9058,0.905757512,0.892686112,0.789913083,0,,0.8735391768,
0.51,0.9013,0.903208893,0.892170703,0.793448276,0,,0.872531968,
0.55,0.9003,0.908736432,0.875517768,0.793584862,0,,0.8695347655,
0.8,0.8982,0.88475876,0.842673126,0.623170029,0,,0.8122004788,
1,0.8958,0.859918855,0.747950366,0.410529978,0,,0.7285497998,
2,0.7733,0.412197232,0.235611511,0.118325604,0,,0.3848585868,
,0.9097,0.908736432,0.902732946,0.876796945,,,,
